lake,date,satellite,scene_ids,l1c_scene_ids,mgrs_tiles,total_lake_pixels,source_pixels,clear_pixels,water_pixels,valid_pixels,valid_percent,masked_percent,source_coverage_percent,clear_percent,floating_vegetation_pixels,model_out_of_range_pixels,excluded_scl_pixels,note,mean_cyano,median_cyano,std_cyano,min_cyano,p10_cyano,p25_cyano,p75_cyano,p90_cyano,p95_cyano,max_cyano,mean_ndvi,median_ndvi,std_ndvi,min_ndvi,p10_ndvi,p25_ndvi,p75_ndvi,p90_ndvi,p95_ndvi,max_ndvi,mean_ndwi,median_ndwi,std_ndwi,min_ndwi,p10_ndwi,p25_ndwi,p75_ndwi,p90_ndwi,p95_ndwi,max_ndwi
amatitlan,2026-06-19,Sentinel-2A,S2A_MSIL2A_20260619T162701_R040_T15PYR_20260620T054123;S2A_MSIL2A_20260619T162701_R040_T15PYS_20260620T054123,S2A_15PYR_20260619_0_L1C;S2A_15PYS_20260619_0_L1C,15PYR;15PYS,37570,37570,37053,35775,35775,95.22225179664626,4.77774820335374,100.0,98.62390204950759,72,0,517,,11.418869972229004,10.691143035888672,6.322733402252197,3.211019515991211,5.184152603149414,6.2601823806762695,14.458541870117188,17.965816497802734,21.760168075561523,81.57202911376953,-0.04390106722712517,-0.04234526306390762,0.11690358817577362,-0.24709782004356384,-0.1856474131345749,-0.13595165312290192,0.017582427710294724,0.07739686220884323,0.1511777937412262,0.726509153842926,0.35415077209472656,0.3550834655761719,0.11273068189620972,-0.5163670182228088,0.23350155353546143,0.2896500527858734,0.4423253536224365,0.49211058020591736,0.5091453194618225,0.5437262058258057
atitlan,2025-01-18,Sentinel-2B,S2B_MSIL2A_20250118T162519_R040_T15PXS_20250118T201048;S2B_MSIL2A_20250118T162519_R040_T15PYS_20250118T201048,S2B_15PXS_20250118_0_L1C;S2B_15PYS_20250118_0_L1C,15PXS;15PYS,311741,311741,311069,306166,204508,65.6018938798554,34.398106120144604,100.0,99.78443643922358,0,101658,672,,0.8766459226608276,0.7554135322570801,0.7259507775306702,0.0003485679626464844,0.1637258529663086,0.36652374267578125,1.1892695426940918,1.6648712158203125,2.0250778198242188,20.354148864746094,-0.2742425501346588,-0.28875380754470825,0.05067692697048187,-0.5208613872528076,-0.30817610025405884,-0.2996845543384552,-0.2701265215873718,-0.22493228316307068,-0.1827956885099411,0.5263158082962036,0.5662263035774231,0.5795246362686157,0.04840898886322975,-0.3812708854675293,0.5274542570114136,0.5631768703460693,0.5882353186607361,0.5947954654693604,0.5978062152862549,0.6778378486633301
atitlan,2025-04-13,Sentinel-2C,S2C_MSIL2A_20250413T161851_R040_T15PXS_20250413T212014;S2C_MSIL2A_20250413T161851_R040_T15PYS_20250413T212014,S2C_15PXS_20250413_0_L1C_fallback;S2C_15PYS_20250413_0_L1C_fallback,15PXS;15PYS,311741,44681,44492,43551,43456,13.93977693020809,86.06022306979192,14.332731337873428,14.272104086405061,0,95,189,,1.8823591470718384,1.8231725692749023,0.6075923442840576,0.018659591674804688,1.18927001953125,1.4831674098968506,2.225588321685791,2.6701765060424805,2.945356845855713,11.295782089233398,-0.10870521515607834,-0.12028725445270538,0.036378420889377594,-0.27339449524879456,-0.14124293625354767,-0.132437601685524,-0.09489048272371292,-0.05863707885146141,-0.03515982627868652,0.38785624504089355,0.3764437437057495,0.38874679803848267,0.040865130722522736,-0.24791084229946136,0.3222354054450989,0.3599003851413727,0.4036458134651184,0.41361260414123535,0.4187924861907959,0.501259446144104
atitlan,2025-05-13,Sentinel-2C,S2C_MSIL2A_20250513T161851_R040_T15PXS_20250513T205112;S2C_MSIL2A_20250513T161851_R040_T15PYS_20250513T205112,S2C_15PXS_20250513_0_L1C;S2C_15PYS_20250513_0_L1C,15PXS;15PYS,311741,311741,310794,304966,281610,90.33460468786589,9.66539531213411,100.0,99.69622218444157,0,23356,947,,1.4479976892471313,1.4270832538604736,0.8249744772911072,0.0003485679626464844,0.3744058609008789,0.7723982334136963,2.059816837310791,2.4982752799987793,2.7652130126953125,13.376666069030762,-0.18139377236366272,-0.18803419172763824,0.05420210584998131,-0.30445247888565063,-0.2423529177904129,-0.2293144166469574,-0.14488638937473297,-0.11204483360052109,-0.0863739401102066,0.4299287497997284,0.43353039026260376,0.4470426142215729,0.07234980165958405,-0.2653704881668091,0.33982688188552856,0.37217599153518677,0.5015197396278381,0.5145929455757141,0.5192604660987854,0.5382165312767029
atitlan,2025-07-17,Sentinel-2A,S2A_MSIL2A_20250717T163711_R083_T15PXS_20250718T010513,S2A_15PXS_20250717_1_L1C,15PXS,311741,44087,43978,24128,20985,6.731549587638456,93.26845041236155,14.142188547544276,14.107223624739769,0,3143,109,,1.8388087749481201,1.6630091667175293,1.189105749130249,0.00034999847412109375,0.5778994560241699,1.0483884811401367,2.4708352088928223,3.292539358139038,3.779945135116577,49.18890380859375,-0.1260012686252594,-0.14883112907409668,0.07947727292776108,-0.47703176736831665,-0.20786519348621368,-0.19021739065647125,-0.06591763347387314,-0.013444037176668644,0.010672244243323803,0.3867141306400299,0.3987337648868561,0.4501558840274811,0.12382261455059052,-0.2569892406463623,0.17588801681995392,0.33888229727745056,0.492635041475296,0.5074874758720398,0.5150501728057861,0.6074270606040955
atitlan,2025-11-21,Sentinel-2A,S2A_MSIL2A_20251121T162701_R040_T15PXS_20251121T204011;S2A_MSIL2A_20251121T162701_R040_T15PYS_20251121T204011,S2A_15PXS_20251121_0_L1C;S2A_15PYS_20251121_0_L1C,15PXS;15PYS,311741,311741,311041,305209,190342,61.0577370317026,38.9422629682974,100.0,99.77545462419124,0,114867,700,,0.8797320127487183,0.7422177791595459,0.7839343547821045,0.00034999847412109375,0.16077470779418945,0.36652374267578125,1.18927001953125,1.6873173713684082,2.08042049407959,23.52386474609375,-0.2676571309566498,-0.28658536076545715,0.05711472034454346,-0.46886011958122253,-0.30817610025405884,-0.30000004172325134,-0.2586206793785095,-0.20108693838119507,-0.15656568109989166,0.5581538677215576,0.5637114644050598,0.580071210861206,0.052298929542303085,-0.3974231779575348,0.5112263560295105,0.5575221180915833,0.5913200378417969,0.5978260636329651,0.6007463335990906,0.6560788750648499
atitlan,2025-12-29,Sentinel-2C,S2C_MSIL2A_20251229T162941_R040_T15PXS_20251229T194911;S2C_MSIL2A_20251229T162941_R040_T15PYS_20251229T194911,S2C_15PXS_20251229_0_L1C;S2C_15PYS_20251229_0_L1C,15PXS;15PYS,311741,311741,310759,305405,225310,72.27474089067528,27.72525910932473,100.0,99.68499491565113,0,80095,982,,0.8895382881164551,0.7586259841918945,0.7243873476982117,0.0003485679626464844,0.17165470123291016,0.41110849380493164,1.2071619033813477,1.693375825881958,2.0874364376068115,25.4322509765625,-0.23804537951946259,-0.2526315748691559,0.04694802314043045,-0.38372093439102173,-0.27272725105285645,-0.2645502984523773,-0.2299741804599762,-0.18500001728534698,-0.1482352614402771,0.546617865562439,0.5146023631095886,0.5266666412353516,0.044278573244810104,-0.3800979256629944,0.47096776962280273,0.5092436671257019,0.5374149680137634,0.545299232006073,0.5494691133499146,0.615384578704834
atitlan,2026-02-12,Sentinel-2B,S2B_MSIL2A_20260212T162309_R040_T15PXS_20260212T201321;S2B_MSIL2A_20260212T162309_R040_T15PYS_20260212T201321,S2B_15PXS_20260212_0_L1C;S2B_15PYS_20260212_0_L1C,15PXS;15PYS,311741,311741,311086,305220,276052,88.5517144039443,11.4482855960557,100.0,99.78988968406466,0,29168,655,,1.0604482889175415,1.0040912628173828,0.6467796564102173,0.0019779205322265625,0.2947366237640381,0.625685453414917,1.4123468399047852,1.8205175399780273,2.113095283508301,17.504867553710938,-0.25113460421562195,-0.26424869894981384,0.04193694517016411,-0.37278103828430176,-0.28042328357696533,-0.27365732192993164,-0.24637684226036072,-0.20481927692890167,-0.17037039995193481,0.5081415176391602,0.522101640701294,0.5335462689399719,0.04109592363238335,-0.3802672028541565,0.4846625328063965,0.5166931748390198,0.5430463552474976,0.5494327545166016,0.5530179142951965,0.60550457239151
atitlan,2026-03-24,Sentinel-2B,S2B_MSIL2A_20260324T161859_R040_T15PXS_20260324T213738;S2B_MSIL2A_20260324T161859_R040_T15PYS_20260324T213738,S2B_15PXS_20260324_0_L1C;S2B_15PYS_20260324_1_L1C,15PXS;15PYS,311741,311741,311017,305148,298072,95.61527036867143,4.384729631328571,100.0,99.76775592559208,0,7076,724,,1.3167699575424194,1.2789478302001953,0.6309062838554382,0.0003485679626464844,0.553560733795166,0.8895139694213867,1.673706293106079,2.087435483932495,2.383769989013672,11.720588684082031,-0.22778157889842987,-0.24276165664196014,0.042353395372629166,-0.3022049069404602,-0.25961539149284363,-0.25339365005493164,-0.21961618959903717,-0.16981130838394165,-0.14022140204906464,0.4225621521472931,0.4800867736339569,0.49476832151412964,0.0430435873568058,-0.26850828528404236,0.4246947467327118,0.4721407890319824,0.5051852464675903,0.5115206837654114,0.5154184699058533,0.5404624342918396
atitlan,2026-04-13,Sentinel-2B,S2B_MSIL2A_20260413T161829_R040_T15PXS_20260413T200138;S2B_MSIL2A_20260413T161829_R040_T15PYS_20260413T200138,S2B_15PXS_20260413_0_L1C;S2B_15PYS_20260413_0_L1C,15PXS;15PYS,311741,311741,311048,304437,300402,96.36268569100632,3.637314308993684,100.0,99.77770007794932,0,4035,693,,2.188264846801758,2.235476493835449,0.7465928196907043,0.00034999847412109375,1.1892695426940918,1.7173171043395996,2.7349236011505127,3.111671209335327,3.286463499069214,11.240631103515625,-0.16012223064899445,-0.16603773832321167,0.04421677440404892,-0.30512821674346924,-0.21678324043750763,-0.18431374430656433,-0.1304347664117813,-0.1042470932006836,-0.08883829414844513,0.43056437373161316,0.3838513493537903,0.3956044018268585,0.07037907093763351,-0.2652832567691803,0.2839224934577942,0.33834588527679443,0.421364963054657,0.47508305311203003,0.5025380849838257,0.5686695575714111
atitlan,2026-04-28,Sentinel-2C,S2C_MSIL2A_20260428T161901_R040_T15PXS_20260428T211111;S2C_MSIL2A_20260428T161901_R040_T15PYS_20260428T211111,S2C_15PXS_20260428_0_L1C,15PXS;15PYS,311741,311741,310760,304284,302806,97.13383866735528,2.8661613326447277,100.0,99.68531569475944,0,1478,981,,1.8808094263076782,1.9211952686309814,0.7558804750442505,0.0003485679626464844,0.8848536014556885,1.307586669921875,2.4079017639160156,2.7982077598571777,3.0691919326782227,8.31039810180664,-0.16808846592903137,-0.1675126999616623,0.05199998617172241,-0.2870248854160309,-0.229787215590477,-0.21487605571746826,-0.14163093268871307,-0.1010928750038147,-0.07232703268527985,0.27285417914390564,0.3949286937713623,0.39246663451194763,0.06610005348920822,-0.1074681356549263,0.31315484642982483,0.3476298153400421,0.46036583185195923,0.4756995439529419,0.48051953315734863,0.5050072073936462
atitlan,2026-07-22,Sentinel-2B,S2B_MSIL2A_20260722T161829_R040_T15PXS_20260722T201316;S2B_MSIL2A_20260722T161829_R040_T15PYS_20260722T201316,S2B_15PXS_20260722_0_L1C;S2B_15PYS_20260722_0_L1C,15PXS;15PYS,311741,311741,311049,303778,263199,84.42874052498709,15.571259475012912,100.0,99.77802085705763,19,40579,692,,1.4336777925491333,1.341557502746582,0.963211715221405,0.0003485679626464844,0.34946680068969727,0.7355155944824219,2.0258588790893555,2.540079116821289,2.814459800720215,20.678070068359375,-0.189543679356575,-0.19999997317790985,0.06795754283666611,-0.3234671950340271,-0.2625698447227478,-0.24009323120117188,-0.14798209071159363,-0.11382114142179489,-0.08982035517692566,0.6187233924865723,0.4652937352657318,0.4862915277481079,0.09219864010810852,-0.47042906284332275,0.34361234307289124,0.39976558089256287,0.538221538066864,0.5650741457939148,0.5739837884902954,0.5980392098426819
