lake,date,mean_cyano,median_cyano,std_cyano,min_cyano,p10_cyano,p25_cyano,p75_cyano,p90_cyano,p95_cyano,max_cyano,valid_pixels,valid_percent,masked_percent,source_coverage_percent,clear_percent,mean_ndvi,mean_ndwi,satellite,mgrs_tiles,note
amatitlan,2026-06-19,11.418869972229004,10.691143035888672,6.322733402252197,3.211019515991211,5.184152603149414,6.2601823806762695,14.458541870117188,17.965816497802734,21.760168075561523,81.57202911376953,35775,95.22225179664626,4.77774820335374,100.0,98.6239020495076,-0.0439010672271251,0.3541507720947265,Sentinel-2A,15PYR;15PYS,
atitlan,2025-01-18,0.8766459226608276,0.7554135322570801,0.7259507775306702,0.0003485679626464,0.1637258529663086,0.3665237426757812,1.1892695426940918,1.6648712158203125,2.0250778198242188,20.354148864746094,204508,65.6018938798554,34.398106120144604,100.0,99.78443643922358,-0.2742425501346588,0.5662263035774231,Sentinel-2B,15PXS;15PYS,
atitlan,2025-04-13,1.8823591470718384,1.8231725692749023,0.6075923442840576,0.0186595916748046,1.18927001953125,1.4831674098968506,2.225588321685791,2.6701765060424805,2.945356845855713,11.295782089233398,43456,13.93977693020809,86.06022306979192,14.332731337873428,14.27210408640506,-0.1087052151560783,0.3764437437057495,Sentinel-2C,15PXS;15PYS,
atitlan,2025-05-13,1.4479976892471311,1.4270832538604736,0.8249744772911072,0.0003485679626464,0.3744058609008789,0.7723982334136963,2.059816837310791,2.4982752799987797,2.7652130126953125,13.376666069030762,281610,90.33460468786588,9.66539531213411,100.0,99.69622218444157,-0.1813937723636627,0.4335303902626037,Sentinel-2C,15PXS;15PYS,
atitlan,2025-07-17,1.83880877494812,1.6630091667175293,1.189105749130249,0.000349998474121,0.5778994560241699,1.0483884811401367,2.4708352088928223,3.292539358139038,3.779945135116577,49.18890380859375,20985,6.731549587638456,93.26845041236156,14.142188547544276,14.107223624739769,-0.1260012686252594,0.3987337648868561,Sentinel-2A,15PXS,
atitlan,2025-11-21,0.8797320127487183,0.7422177791595459,0.7839343547821045,0.000349998474121,0.1607747077941894,0.3665237426757812,1.18927001953125,1.6873173713684082,2.08042049407959,23.52386474609375,190342,61.0577370317026,38.9422629682974,100.0,99.77545462419124,-0.2676571309566498,0.5637114644050598,Sentinel-2A,15PXS;15PYS,
atitlan,2025-12-29,0.8895382881164551,0.7586259841918945,0.7243873476982117,0.0003485679626464,0.1716547012329101,0.4111084938049316,1.2071619033813477,1.693375825881958,2.0874364376068115,25.4322509765625,225310,72.27474089067528,27.72525910932473,100.0,99.68499491565112,-0.2380453795194625,0.5146023631095886,Sentinel-2C,15PXS;15PYS,
atitlan,2026-02-12,1.0604482889175415,1.0040912628173828,0.6467796564102173,0.0019779205322265,0.2947366237640381,0.625685453414917,1.4123468399047852,1.8205175399780276,2.113095283508301,17.504867553710938,276052,88.5517144039443,11.4482855960557,100.0,99.78988968406466,-0.2511346042156219,0.522101640701294,Sentinel-2B,15PXS;15PYS,
atitlan,2026-03-24,1.3167699575424194,1.278947830200195,0.6309062838554382,0.0003485679626464,0.553560733795166,0.8895139694213867,1.673706293106079,2.087435483932495,2.383769989013672,11.720588684082031,298072,95.61527036867145,4.384729631328571,100.0,99.76775592559208,-0.2277815788984298,0.4800867736339569,Sentinel-2B,15PXS;15PYS,
atitlan,2026-04-13,2.188264846801758,2.235476493835449,0.7465928196907043,0.000349998474121,1.1892695426940918,1.7173171043395996,2.7349236011505127,3.111671209335327,3.286463499069214,11.240631103515623,300402,96.36268569100632,3.637314308993684,100.0,99.77770007794932,-0.1601222306489944,0.3838513493537903,Sentinel-2B,15PXS;15PYS,
atitlan,2026-04-28,1.8808094263076784,1.9211952686309812,0.7558804750442505,0.0003485679626464,0.8848536014556885,1.307586669921875,2.407901763916016,2.7982077598571777,3.0691919326782227,8.31039810180664,302806,97.13383866735528,2.866161332644728,100.0,99.68531569475944,-0.1680884659290313,0.3949286937713623,Sentinel-2C,15PXS;15PYS,
atitlan,2026-07-22,1.4336777925491333,1.341557502746582,0.963211715221405,0.0003485679626464,0.3494668006896972,0.7355155944824219,2.0258588790893555,2.540079116821289,2.814459800720215,20.67807006835937,263199,84.42874052498709,15.571259475012912,100.0,99.77802085705764,-0.189543679356575,0.4652937352657318,Sentinel-2B,15PXS;15PYS,
